,age,income,expenses,score,purchases,savings,loan_amount,tenure,debt_ratio,gender,plan,region,education,marital_status,employment,device,channel,subscription_type
0,36.1,61988.29,40183.02,595.0,14,9686.53,69818.25,21.7,0.43,F,basic,South,highschool,single,employed,desktop,callcenter,paid
1,34.0,88869.37,32363.34,602.0,17,18058.84,141560.3,8.3,0.31,F,standard,Central,master,married,employed,mobile,online,free
2,52.1,25167.26,42469.36,651.0,15,22635.15,193417.06,21.7,0.12,M,basic,Central,bachelor,divorced,employed,tablet,branch,free
3,32.0,74058.55,52859.32,631.0,28,14277.25,120291.05,11.2,0.39,F,standard,East,master,married,unemployed,desktop,branch,paid
4,49.7,70582.24,41786.67,527.0,27,17147.74,169012.11,5.2,0.18,F,standard,Central,doctorate,single,student,mobile,branch,paid
5,27.7,65515.54,42896.95,559.0,16,14458.03,125058.28,0.7,0.29,M,basic,North,bachelor,married,unemployed,desktop,online,free
6,26.7,85188.72,52600.99,437.0,22,18680.8,116962.62,2.4,0.04,F,standard,East,master,single,retired,desktop,online,paid
7,44.5,83959.12,40196.01,586.0,21,18291.25,149229.14,20.3,0.12,F,standard,South,bachelor,married,unemployed,mobile,branch,free
8,43.7,84215.7,35018.16,596.0,19,15425.1,127891.49,4.7,0.33,F,standard,North,bachelor,divorced,retired,desktop,branch,paid
9,33.1,85890.41,41424.32,534.0,16,19964.65,95733.32,24.4,0.09,M,basic,Central,bachelor,single,student,mobile,branch,paid
10,40.6,77987.25,48144.42,668.0,19,11718.04,24094.61,15.9,0.41,M,basic,North,bachelor,widowed,employed,tablet,online,paid
11,59.5,91293.31,35302.14,599.0,18,12208.83,102023.61,16.6,0.21,M,standard,North,bachelor,single,student,tablet,online,trial
12,20.1,93366.83,46313.27,694.0,20,7472.47,194289.63,18.7,0.3,M,standard,East,highschool,married,employed,desktop,online,paid
13,34.9,60401.15,37257.44,805.0,13,16530.85,69399.75,17.6,0.39,F,basic,East,bachelor,divorced,student,mobile,callcenter,free
14,32.1,82301.39,50623.91,522.0,27,16526.44,128665.95,8.1,0.22,F,standard,West,bachelor,married,employed,mobile,branch,free
15,40.2,53169.69,42110.79,550.0,17,21845.38,96932.8,19.1,0.08,F,premium,East,master,married,employed,mobile,online,paid
16,27.2,80057.49,42200.0,555.0,19,17166.63,27809.43,24.7,0.54,F,standard,North,bachelor,divorced,employed,mobile,callcenter,paid
17,46.8,73844.27,40583.33,579.0,22,12614.87,42607.35,24.1,0.35,M,basic,West,bachelor,married,employed,mobile,online,paid
18,45.3,76622.6,40159.25,700.0,20,16767.06,82649.3,7.1,0.2,M,basic,North,bachelor,single,employed,desktop,branch,trial
