,age,income,expenses,score,purchases,savings,loan_amount,tenure,debt_ratio,gender,plan,region,education,marital_status,employment,device,channel,subscription_type
0,28.3,77733.4,44118.65,517.0,12,13228.23,142494.66,25.1,0.18,F,standard,West,bachelor,single,employed,mobile,callcenter,free
1,30.0,77245.92,34019.35,591.0,25,8750.6,98867.65,29.0,0.26,F,basic,North,bachelor,married,employed,mobile,branch,free
2,41.2,83799.37,41379.04,500.0,12,7903.32,168305.53,2.0,0.15,M,premium,West,doctorate,single,retired,mobile,callcenter,paid
3,40.7,69796.81,36246.01,668.0,16,18227.64,112258.18,25.2,0.45,F,basic,North,master,single,student,mobile,online,paid
4,48.5,80477.54,23882.62,578.0,16,17275.96,121972.14,3.1,0.36,M,basic,South,bachelor,married,employed,mobile,online,free
5,51.3,83010.99,45734.47,511.0,21,17946.15,104765.94,8.1,0.16,M,basic,East,bachelor,widowed,employed,mobile,online,free
6,38.0,75727.8,36241.68,691.0,32,22366.86,184117.0,6.3,0.34,F,basic,North,highschool,married,employed,mobile,online,paid
7,39.5,79855.75,43274.81,678.0,22,14583.61,165491.44,17.9,0.25,M,basic,South,highschool,married,employed,desktop,online,paid
8,31.5,84710.82,41972.04,469.0,16,17048.41,68629.21,7.8,0.11,M,premium,East,highschool,single,employed,mobile,online,trial
9,31.8,55778.42,49577.73,421.0,21,17098.1,150244.18,19.3,0.18,F,basic,North,highschool,single,unemployed,mobile,online,free
10,14.8,65668.67,32826.7,665.0,23,16116.62,86071.52,0.6,0.21,F,basic,East,bachelor,married,retired,tablet,online,free
11,23.7,79350.96,48343.31,746.0,17,19636.12,49702.73,9.4,0.39,M,standard,North,highschool,single,employed,mobile,online,paid
12,23.9,67558.56,27971.95,535.0,29,16021.97,120858.28,6.6,0.3,F,premium,West,highschool,divorced,employed,mobile,online,paid
13,37.4,49945.62,49951.97,509.0,15,15535.15,180670.08,21.3,0.59,F,basic,South,highschool,single,employed,tablet,online,paid
14,31.7,63049.52,39115.51,737.0,27,11074.94,90337.81,3.3,0.29,M,basic,North,highschool,married,employed,mobile,branch,trial
15,54.4,69497.59,47838.71,514.0,17,20055.96,120440.89,12.0,0.27,M,basic,East,highschool,married,employed,desktop,branch,free
16,54.2,76573.56,42143.76,670.0,16,13117.37,139513.84,1.8,0.34,M,basic,North,bachelor,married,employed,mobile,online,free
17,44.2,53113.16,36660.36,483.0,11,18195.5,157136.0,9.5,0.27,F,standard,West,bachelor,married,retired,desktop,online,free
18,44.4,80118.81,45086.16,730.0,23,9625.17,147879.04,6.4,0.28,M,standard,West,highschool,married,employed,desktop,online,free
19,46.6,78298.16,40139.95,505.0,20,15955.09,96365.66,4.6,0.47,F,standard,West,master,divorced,employed,desktop,callcenter,paid
20,33.9,79196.86,38844.24,518.0,13,18170.6,122773.82,22.2,0.24,M,standard,South,bachelor,married,student,mobile,online,free
